Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
SPE,Special Categories,2,0,2,32.301,0,32.301,0,0,0,0,0.014058,0,0.00226,0,98,0.024778,0.5
STP,Sao Tome and Principe,2,0,2,0.084,0,0.084,0,0,0,0,0.011254,0,0.002283,0,30,0.027947,0
TCD,,1,0,1,13.71,0,13.71,0,0,0,0,0.010246,0,0.001935,0,102,0.0005,0
GIN,Guinea,2,0,2,47.777,0,47.777,0,0,0,0,0.014559,0,0.002275,0,85,0.039998,0.5
NER,,2,1,3,36.273,0.747,37.02,4,0.322137,0.333333,0.6,0.011339,0.00295,0.002323,0,101,0.039887,0.333333
HND,Honduras,3,3,6,90031.535,48.015,90079.55,4,0.399621,0.421801,85.204746,0.01301,0.009068,0.004511,0,101,0.060054,0.2
GUM,Guam,3,0,3,9.824,0,9.824,0,0,0,0,0.010381,0,0.003927,0,24,0.081779,0.5
BTN,Bhutan,1,0,1,34.699,0,34.699,0,0,0,0,0.012809,0,0.001991,0,91,0.028606,0
COM,,3,0,3,83.372,0,83.372,0,0,0,0,0.020559,0,0.00255,0,89,0.068255,0.666667
GAB,Gabon,3,0,3,24.313,0,24.313,0,0,0,0,0.02973,0,0.002424,0,88,0.10271,0.833333
GMB,Gambia,2,0,2,4.597,0,4.597,0,0,0,0,0.024688,0,0.002168,0,90,0.073952,1
GRD,,4,0,4,19.487,0,19.487,0,0,0,0,0.013945,0,0.004897,0,11,0.045423,0.416667
IRQ,Iraq,4,0,4,941.7,0,941.7,0,0,0,0,0.025718,0,0.002924,0,83,0.078772,0.416667
LKA,Sri Lanka,6,20,26,130635.877,71.739,130707.616,3,0.472036,0.511848,67.566171,0.042004,0.074946,0.003143,0,101,0.170406,0.253623
MDV,Maldives,3,0,3,8.383,0,8.383,0,0,0,0,0.01837,0,0.002444,0,87,0.063165,0.5
MLI,Mali,3,0,3,83.375,0,83.375,0,0,0,0,0.016752,0,0.003692,0,20,0.070101,0.333333
MNG,,2,1,3,89.322,0.029,89.351,4,0.310294,0.32188,1.212898,0.014072,0.005169,0.002382,0,101,0.051013,0.333333
MWI,Malawi,5,7,12,368.179,3450.682,3818.861,4,0.421158,0.449447,40.632994,0.032292,0.018074,0.003329,0,101,0.118026,0.553571
SLE,Sierra Leone,2,0,2,9.554,0,9.554,0,0,0,0,0.024688,0,0.002168,0,19,0.073952,1
SOM,,2,0,2,365.111,0,365.111,0,0,0,0,0.014448,0,0.002321,0,18,0.044049,1
UGA,Uganda,8,10,18,489.293,4696.792,5186.085,3,0.43595,0.466825,106.105437,0.039528,0.035737,0.004458,0,101,0.166149,0.373626
DMA,,1,0,1,5.149,0,5.149,0,0,0,0,0.000644,0,0.002134,0,54,0.00585,0
KNA,,2,0,2,24.422,0,24.422,0,0,0,0,0.012523,0,0.002311,0,52,0.051196,0.5
LCA,Saint Lucia,2,0,2,2121.959,0,2121.959,0,0,0,0,0.012523,0,0.002311,0,51,0.051196,0.5
SXM,,2,0,2,28.326,0,28.326,0,0,0,0,0.012523,0,0.002311,0,50,0.051196,0.5
