Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
JAM,Jamaica,3,6,9,20022.946,115.539,20138.485,4,0.371278,0.400157,19.766193,0.025306,0.014306,0.002352,0.25,0.07974,0,107
JOR,Jordan,13,1,14,6933.958,0.828,6934.786,7,0.187279,0.195463,4.976984,0.085734,0.003631,0.00524,0.39011,0.364265,0,107
JPN,Japan,20,15,35,456989.784,4323.948,461313.732,3,0.477477,0.507862,397.889954,0.123523,0.080009,0.010497,0.429231,0.57745,0,107
KAZ,Kazakhstan,5,3,8,356.137,4695.645,5051.782,5,0.264339,0.281761,83.996939,0.034329,0.010193,0.00426,0.285714,0.160061,0,107
KEN,Kenya,10,12,22,21497.023,2782.741,24279.764,4,0.3392,0.374214,359.073526,0.071968,0.015398,0.003943,0.21345,0.246837,0,107
KGZ,Kyrgyzstan,3,0,3,323.498,0,323.498,0,0,0,0,0.013168,0,0.004477,0.5,0.073041,0,46
KHM,Cambodia,4,2,6,3463.796,53.397,3517.193,4,0.382671,0.402516,12.957562,0.026947,0.011139,0.003298,0.666667,0.136809,0,107
KIR,Kiribati,2,0,2,11.651,0,11.651,0,0,0,0,0.006715,0,0.002697,0,0.037353,0,34
KOR,"Korea, Rep.",16,12,28,144191.05,375.803,144566.853,3,0.469027,0.496855,465.459773,0.111825,0.059349,0.007396,0.418421,0.497116,0,107
KWT,Kuwait,10,2,12,1385.622,149.463,1535.085,5,0.296503,0.314308,419.740922,0.079576,0.009858,0.00771,0.481818,0.311739,0,107
LAO,Lao PDR,2,1,3,6.371,46.662,53.033,4,0.318318,0.332154,0,0.00667,0.00593,0.002835,1,0.062277,0,107
LBN,Lebanon,10,2,12,13140.495,1.906,13142.401,6,0.229686,0.241667,214.500451,0.085513,0.008173,0.008924,0.454545,0.330879,0,107
LBR,Liberia,4,0,4,621.47,0,621.47,0,0,0,0,0.046558,0,0.002363,0.583333,0.114893,0,45
LBY,Libya,2,0,2,7.419,0,7.419,0,0,0,0,0.023925,0,0.002122,0,0.056,0,91
LCA,Saint Lucia,4,1,5,16.643,0.041,16.684,1,1,1,1.1,0.022842,0.00075,0.002966,0.45,0.07419,0,60
LKA,Sri Lanka,5,19,24,12386.025,124.674,12510.699,3,0.463895,0.503931,210.976727,0.040029,0.082033,0.003198,0.292208,0.164679,0,107
LSO,Lesotho,2,0,2,114.032,0,114.032,0,0,0,0,0.022304,0,0.002177,1,0.07085,0,105
LTU,Lithuania,15,4,19,8047.121,2396.807,10443.928,4,0.348112,0.370676,51.64924,0.110389,0.019765,0.009436,0.695238,0.583328,0,107
LUX,Luxembourg,5,3,8,422.008,31.896,453.904,4,0.383363,0.406447,0.121429,0.048996,0.020808,0.002791,0.95,0.220137,0,107
LVA,Latvia,12,3,15,8166.894,795.553,8962.447,5,0.294036,0.315645,5.5453,0.079277,0.013606,0.008374,0.660256,0.433611,0,107
MAC,Macao,3,0,3,4.475,0,4.475,0,0,0,0,0.021884,0,0.002625,0.666667,0.097509,0,42
MAR,Morocco,10,0,10,24980.897,0,24980.897,0,0,0,0,0.094038,0,0.0039,0.711111,0.3747,0,74
